id,name,dateOfBirth,sex,breed,horseFromPolishBreeding,suffix,trainer,races.raceId,races.raceDate,races.name,races.order,races.place,races.prize,races.jockey,races.jockeyWeight,races.time,races.trainer,races.country,races.city,dataSource,breeders.name,mother.name,mother.sex,mother.breed,mother.suffix,father.name,father.sex,father.breed,father.suffix,color.id,color.polishName,color.polishShortName,color.englishName,color.englishShortName,raceOwners.name
,"AARON, 3 hř",,,,,,,07.04.2024 CH,07.04.2024,"4. dostih, start 15:34
1004 CENA KNIHY ""DOSTIHY O MODROU STUHU""
Rovina III.kat. - 1400 m, cena, 3letí
70.000 Kč (35000 - 16100 - 10500 - 4900 - 3500)
Zápisné: 875 + 1925 Kč
Stav dráhy: 3.4 (dobrá)",2,1,,ž. Ján Havlík,"57,0","01:26,42",Brož Jiří,CH,Praha,Jockey Club Ceske republiky site
,"AARON, 3 hř b",,,,,,,12.05.2024 CH,12.05.2024,"6. dostih, start 15:48
1078 103. CONSEQ VELKÁ JARNÍ CENA
Rovina L - 1600 m, cena, 3letí - klisny a hřebci
550.000 Kč (275000 - 104500 - 66000 - 38500 - 27500 - 22000 - 16500)
Zápisné: 7150 + 14850 Kč
Stav dráhy: 3.3 (dobrá)",6,1,,žk. Tomáš Roman,"58,0","01:41,44",Brož Jiří,CH,Praha,Jockey Club Ceske republiky site
,"ABASKAN(SVK), 4 hř",,,,,,,19.05.2013 BA,,"7039 Handicap Cataliny
Rovina IV.kat. - 1200 m, handicap, 3letí a starší
1.700 EUR (850 - 390 - 255 - 120 - 85)
Zápisné: 0 + 0 EUR",3,4,,ž. František Drozda,"56,5",,Grupáčová Zuzana,BA,Bratislava (Slovensko),Jockey Club Ceske republiky site
,"ABELARD(FR), 3 hř",,,,,,,11.05.2024 SL,11.05.2024,"3. dostih, start 14:12
1067 CENA města SLUŠOVICE
Rovina III.kat. - 2200 m, cena, 3letí
55.000 Kč (27500 - 12650 - 8250 - 3850 - 2750)
Zápisné: 700 + 1500 Kč
Stav dráhy: 2.7 (dobrá až pevná)",1,4,,Anežka Grebeníčková,"51,0","02:19,72",Mach Ján,SL,Slušovice,Jockey Club Ceske republiky site
,"ABHA(FR), 4 kl",,,,,,,07.04.2024 CH,07.04.2024,"6. dostih, start 16:51
1006 66. VELKÁ DUBNOVÁ CENA
Rovina I.kat. - 1800 m, cena, 4letí a starší
150.000 Kč (75000 - 34500 - 22500 - 10500 - 7500)
Zápisné: 1500 + 4500 Kč
Stav dráhy: 3.4 (dobrá)",7,2,,ž. Tomáš Lukášek,"58,0","01:49,25",Janáčková Koplíková Ingrid,CH,Praha,Jockey Club Ceske republiky site
,"ACCELERATOR(FR), 6 val",,,,,,,12.05.2019 Ma / ITY,12.05.2019,"2165 Premio Martesana
Proutky - - 3600 m, cena, 5letí a starší
16.500 EUR (7012 - 2805 - 1402 - 841 - 561)
Zápisné: 0 + 0 EUR",1,1,,ž. Josef Bartoš,"65,5",,Váňa ml. Josef,ITY,Milano (Itálie),Jockey Club Ceske republiky site
,"ACTION PLEASE(GER), 3 hř",,,,,,,19.05.2013 BA,,"7044 Velká jarná cena
Rovina L - 1700 m, cena, 3letí
21.000 EUR (10500 - 4830 - 3150 - 1470 - 1050)
Zápisné: 0 + 0 EUR",2,4,,Tomáš Bitala,"58,0",,Hillis John David,BA,Bratislava (Slovensko),Jockey Club Ceske republiky site
,"ADAL HIT(GB), 3 hř",,,,,,,21.04.2024 CH,,"2. dostih, start 14:41
1032 CENA TELEVIZE A 11
Rovina III.kat. - 1600 m, cena, 3letí
70.000 Kč (35000 - 16100 - 10500 - 4900 - 3500)
Zápisné: 875 + 1925 Kč
Stav dráhy: 3.1 (dobrá až pevná)",5,8,,ž. Milan Zatloukal,"58,0","01:42,21",Kobzarev Konstantin,CH,Praha,Jockey Club Ceske republiky site
,"ADEBRETTI, 7 val",,,,,,,19.05.2013 BA,,"7045 Cena Víchora
Steeplechase - - 3800 m, cena, 5letí a starší
1.700 EUR (850 - 425 - 255 - 170)
Zápisné: 0 + 0 EUR",6,4,,ž. Marek Stromský,"66,0",,Šomanová Lenka,BA,Bratislava (Slovensko),Jockey Club Ceske republiky site
,"ADMIRAL PIETT(GER), 8 val",,,,,,,14.04.2024 PE,,"1. dostih, start 11:30
1017 CENA DOSTIHOVÉHO KLUBU
Rovina IV.kat. - 2900 m, cena, 4letí a starší - hřebci a valaši
50.000 Kč (25000 - 11500 - 7500 - 3500 - 2500)
Zápisné: 500 + 1000 Kč
Stav dráhy: 3.3 (dobrá)",10,D,,Tereza Oppltová,"62,5","03:38,15",Chaloupka Václav,PE,Pardubice,Jockey Club Ceske republiky site
