id,name,dateOfBirth,sex,breed,horseFromPolishBreeding,breeders.name,suffix,mother.name,mother.sex,mother.breed,mother.suffix,father.name,father.sex,father.breed,father.suffix,color.id,color.polishName,color.polishShortName,color.englishName,color.englishShortName,trainer,raceOwners.name,horseCareerData.data.raceYear,horseCareerData.data.horseAge,horseCareerData.data.raceType,horseCareerData.data.raceCount,horseCareerData.data.raceWonCount,horseCareerData.data.racePrizeCount,horseCareerData.data.prize,horseCareerData.recordCount,races.raceId,races.raceDate,races.name,races.order,races.place,races.prize,races.jockey,races.trainer,races.country,races.city
2,MARYWIL,2013,GELDING,THOROUGHBRED,,Wattlefield Stud Ltd,GB,Sadaharu,MARE,THOROUGHBRED,FR,Mawatheeq,STALLION,THOROUGHBRED,USA,2,gniada,gn.,bay,bay,Adam Wyrzyk A.,M. Biały,2015,2,Płaskie,3,0,3,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,5850 zł,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,2016,3,Płaskie,5,4,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,1,47250 zł,4,21614,27.06.2015,,5,5,450,Ireneusz Wójcik I.,Adam Wyrzyk A.,Poland,Warszawa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64701,8.11.2015,,5,3,1800,Michal Abik M.,Adam Wyrzyk A.,Poland,Warszawa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67539,22.11.2015,,2,2,3600,Michal Abik M.,Adam Wyrzyk A.,Poland,Warszawa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,17.04.2016,,7,1,7000,Michal Abik M.,Adam Wyrzyk A.,Poland,Warszawa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277,1.05.2016,,1,1,7000,Michal Abik M.,Adam Wyrzyk A.,Poland,Warszawa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10188,28.05.2016,,1,1,10600,Michal Abik M.,Adam Wyrzyk A.,Poland,Warszawa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13962,19.06.2016,,2,1,21000,Michal Abik M.,Adam Wyrzyk A.,Poland,Warszawa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28780,31.07.2016,,3,5,1650,Michal Abik M.,Adam Wyrzyk A.,Poland,Warszawa
